Sl No,Name,Description,Year
1,Seed stand and clonal seed orchard of Santalum album,,2015
2,Introduction trial of Oxytenanthera nigrociliata,,2018
3,Establishment of Medicinal garden,,2011
4,Hedge stool of Melia dubia,,2019
5,Clonal Assemblage of Tectona grandis with high heart wood content idendified different parts of Tamilnadu,,2036
6,For Popularisation Of Khaya Senegalensis As A Suitable Avenue Species,,2023
7,Devoloping Avenue Plantation Model For High Ways,,2019
8,For Proposed Construction of Gallery for displaying Medicional plants at Mukkombu Research Centre,,2019
9,"Systematic plants for conservation of rare, endangered and threatened medicinal plants",,2021
10,Impact on intercropping of Chrysopogon zizanioides in existing plantation,,2022
,"Retrieval of RET species through seed germination, vegetative propagation(5000Nos)",,2017
,Propagation of selected temple trees (Sthala vriksham) -,,2017
,Propagation Technique of Evodia roxburgiana (Kattu Shenbagam),,2017
,For 3000 Nos. of Sandal Host Taller Seedlings,,2017
,For Raising Nursery in Tiruchy Range(10000Nos),,2018
,For Production And Supply Of Quality Teak Stumps(10000Nos),,2018
,Raising and supply of 1000 nos. of Secondary Timber species,,2018
,Raising biodiversity nursery,,2018
,Standardisation of Nursery techniques in RET species,,2018
,"Estimate for Raising of Grafted seedlings of Tamarind, Nelli and Naval species",,2019
,Mass multiplication of Micro and Macro propagation,,2020
,For Production And Supply Of Quality Teak Stumps(5000Nos),,2019
,Raising Nursery for Propagation of Selected Red Listed species,,2022
,Raising Nursery for Medicinal species,,2022
,2.2.1.4 Production of Clonal Plants,,2013
,2.2.3.2. Mass Multiplication of Clones Through Micro and Macro Propagation,,2013
,2.2.1.4 Production of Clonal Plants,,2014
,2.2.3.2 Mass Mutliplication of Clones through Micro and Macro Propagation,,2014
,2.2.1.4 Production of Clonal Plants,,2015
,2.2.1.4 Production of Clonal Plants,,2016
,2.2.3.2 Mass Mutliplication of Clones through Micro and Macro Propagation,,2016
,Raising Bio Diversity Nursery,,2016
,Raising CAMPA Nursery,,2017
,2.2.3.2 Mass Mutliplication of Clones through Micro and Macro Propagation,,2017
,Standardisation of Rooting techniques for Macro Propagation .,,2017
,Genetic combing of primary and secondary and other timber speciess,,2017
,Genetic combing of primary and secondary and other timber speciess,,2018
,"A Study on the mechanism of 
adaptability of Mangrove 
associate to saline condition",,2021
,Inventry od Medicinal plants diversity in Thiruvarur and Nagapattinam,,2022
,"Comparative study of Environmental factor correlated witrh vegetation distribution of Terminalia chebula in Kalvarayan, Pachaimalai and shervarayan hills",,2023
,Conservation of Genetic resources by standardization of Macro propagation techniques for Diospyrus ebenum through root cuttings for production of quality seedlings,,2023
,Identified the distribution of selected species along riverine area of cauvery delta zone and selected the prime candidate plus trees of selected species,,
,Bio fencing -and eco friendly boundary wall using Caesalpinia bonducella plants for conservation of forest fringe area,,2023
,"3.1.1(5) Development and Construction of Eco park, biodiversity park in various urban Ecosystem(Medicinal garden)",,2023
,3.1.3(4) Bio productivity enhancement developing money yield talbe of Melia dubia,,2023
,3.1.1(3) Raising Taller seedlings,,2025
,3.1.4(2)(1)Planning planting insitu/ exsitu of CR/ En/ DD species,,2023
